action,talker,words
narration,ナレーター,"やっほー！今日はみんなに、とっても面白い研究を紹介するよ！"
narration,ナレーター,"食べ物の研究って聞くと、『え、何それ？』って思うかもしれないけど、実は君たちの生活にとっても関係があるんだ！"
narration,ナレーター,"農研機構の食品研究部門では、みんなが大好きな食べ物を、もっと美味しく、もっと長持ちさせる魔法のような技術を開発したよ！今日はその秘密を大公開しちゃうから、最後まで聞いてね！"
narration,ナレーター,"まず、みんなに知ってほしいことがあるんだ。"
narration,ナレーター,"毎年、日本では570万トンもの食べ物が捨てられているって知ってた？これって本当にもったいないよね！"
narration,ナレーター,"例えば、リンゴの形が少し変だったり、キズがついているだけで、『商品にならない』って言われて捨てられちゃうの。でも味は普通のリンゴと全然変わらないんだよ！"
narration,ナレーター,"それから、冷凍のブロッコリーを解凍すると、なんだかフニャフニャになっちゃうことない？『あー、また食感が変になった』って思ったことがある人、きっと多いと思うんだ。"
narration,ナレーター,"でも、この２つの問題を解決する、すごい技術を開発したよ！"
narration,ナレーター,"じゃーん！私たちが開発したのは、まるで魔法のような技術！"
narration,ナレーター,"１つ目は『凍らせてから乾燥させる』っていう、今までになかった新しい方法。これで、捨てられるはずの果物が、キレイなドライフルーツに変身するんだ！"
narration,ナレーター,"２つ目は、冷凍野菜がフニャフニャになる謎を解明したこと！なんと、収穫する時の気温が関係していたんだって！"
narration,ナレーター,"この技術で、食べ物のムダがぐーんと減って、みんなももっと美味しい食べ物を食べられるようになるよ！"
narration,ナレーター,"それじゃあ、魔法の乾燥技術の仕組みを説明するね！"
narration,ナレーター,"まず、果物をカットするよね。これは普通。でも、次からがすごいの！"
narration,ナレーター,"今度は、その果物をカチカチに凍らせるんだ！『え、乾燥させるのに凍らせるの？』って思うよね？でも、これがポイントなの！"
narration,ナレーター,"先に凍らせることで、果物の形が崩れないように守ってくれるんだ。まるで形を保つ魔法のバリアみたい！"
narration,ナレーター,"その後、電子レンジと同じような電磁波を使って、特別な方法で乾燥させるの。そうすると、あら不思議！色もキレイで、形も崩れない、サクサクで美味しいドライフルーツの完成！"
narration,ナレーター,"これまでの方法だと、しわしわになって色も黒くなっちゃったけど、この新しい方法なら、お店で売ってるような立派な商品ができるんだよ！"
narration,ナレーター,"実際にどのくらい変わったか見てみよう！"
narration,ナレーター,"今までの方法だと、ドライフルーツは形が縮んで、色が黒くなって、時間もかかって、正直あまり美味しくなかった..."
narration,ナレーター,"でも新しい方法だと、形がキレイで、色も鮮やか、時間も短くて、サクサクで美味しい！もう全然違うでしょ？"
narration,ナレーター,"これなら、形が少し変な果物でも、立派な商品として売ることができるんだ！農家さんも喜んでくれるし、みんなも美味しい食べ物が食べられるし、みんなハッピー！"
narration,ナレーター,"次は、冷凍野菜の謎解きタイム！"
narration,ナレーター,"みんなも経験があると思うけど、冷凍のブロッコリーを解凍すると、なんか食感がフニャフニャになっちゃうよね？"
narration,ナレーター,"『なんで冷凍野菜って美味しくないんだろう？』って思ったことない？"
narration,ナレーター,"実は、この謎を解く大きな手がかりを発見したんだ！それは、ブロッコリーを『いつ』収穫するかってこと！"
narration,ナレーター,"寒い時期に収穫したブロッコリーは、冷凍すると柔らかくなりやすいの。でも、暖かい時期に収穫したブロッコリーは、冷凍してもシャキシャキ感が保たれるんだって！"
narration,ナレーター,"『え、収穫する時期でそんなに変わるの？』って思うよね？その秘密を次で説明するよ！"
narration,ナレーター,"野菜の細胞って、実はレンガとセメントでできた壁みたいなものなんだ！"
narration,ナレーター,"野菜の細胞の壁は、レンガ（細胞壁）をセメント（ペクチン）でくっつけているような構造になってるの。"
narration,ナレーター,"寒い時期に収穫されたブロッコリーは、このセメント（ペクチン）が弱くなっちゃうんだ。だから、冷凍・解凍すると、壁が壊れやすくなって、フニャフニャになっちゃうの。"
narration,ナレーター,"でも、暖かい時期に収穫されたブロッコリーは、セメント（ペクチン）がしっかりしているから、冷凍してもシャキシャキ！"
narration,ナレーター,"これがわかったおかげで、冷凍野菜をもっと美味しく作れるようになったんだよ！科学ってすごいでしょ？"
narration,ナレーター,"この研究で、みんなにどんないいことがあるか考えてみよう！"
narration,ナレーター,"お店では、美味しい商品がもっとたくさん並ぶようになるよ！"
narration,ナレーター,"地球にとっても、食べ物のムダが減るから、環境にやさしいよね！"
narration,ナレーター,"農家さんにとっても、今まで捨てるしかなかった形の悪い野菜が、ちゃんと商品として売れるようになるんだ！"
narration,ナレーター,"そして何より、みんなが美味しい食べ物をたくさん食べられるようになる！"
narration,ナレーター,"科学の力で、みんなが笑顔になるって素敵だと思わない？"
narration,ナレーター,"今日は、食べ物の研究について話したけど、どうだった？"
narration,ナレーター,"凍らせてから乾燥させる新技術と、冷凍野菜の秘密の発見。この２つの研究で、食べ物のムダが減って、みんなが美味しい食べ物を食べられるようになるんだ！"
narration,ナレーター,"科学って、最初は難しそうに見えるけど、実はみんなの生活をもっと豊かにしてくれるものなんだよ！"
narration,ナレーター,"君たちも、身の回りのことに『なぜ？』って疑問を持って、それを調べてみると、面白い発見があるかもしれないよ！"
narration,ナレーター,"最後まで聞いてくれて、ありがとう！科学って面白いでしょ？"
